Analyse intensité de charge
Chargeur 220v -- Partage de connexion activé
Debut des mesures :     2023-08-24 09:58:52.548582 Charge: 3%
1.75 A / 10:06:13 / 0000440 s
1.75 A / 10:06:15 / 0000442 s
1.75 A / 10:06:17 / 0000444 s
1.95 A / 10:06:19 / 0000446 s
1.95 A / 10:06:21 / 0000448 s
1.85 A / 10:06:23 / 0000450 s
1.85 A / 10:06:25 / 0000452 s
1.85 A / 10:06:27 / 0000454 s
1.70 A / 10:06:29 / 0000456 s
1.70 A / 10:06:31 / 0000458 s
1.70 A / 10:06:33 / 0000460 s
1.70 A / 10:06:35 / 0000462 s
1.60 A / 10:06:37 / 0000464 s
1.60 A / 10:06:39 / 0000466 s
1.60 A / 10:06:41 / 0000468 s
1.80 A / 10:06:43 / 0000470 s
1.80 A / 10:06:45 / 0000472 s
1.70 A / 10:06:47 / 0000474 s
1.70 A / 10:06:49 / 0000476 s
1.70 A / 10:06:51 / 0000478 s
1.70 A / 10:06:53 / 0000480 s
1.70 A / 10:06:55 / 0000482 s
1.70 A / 10:06:57 / 0000484 s
1.70 A / 10:06:59 / 0000486 s
1.70 A / 10:07:01 / 0000488 s
1.70 A / 10:07:03 / 0000490 s
1.70 A / 10:07:05 / 0000492 s
1.70 A / 10:07:07 / 0000494 s
1.70 A / 10:07:09 / 0000496 s
1.70 A / 10:07:11 / 0000498 s
1.70 A / 10:07:13 / 0000500 s
1.70 A / 10:07:15 / 0000502 s
1.70 A / 10:07:17 / 0000504 s
1.70 A / 10:07:19 / 0000506 s
1.70 A / 10:07:21 / 0000508 s
1.70 A / 10:07:23 / 0000510 s
1.70 A / 10:07:25 / 0000512 s
1.70 A / 10:07:27 / 0000514 s
1.80 A / 10:07:29 / 0000516 s
1.70 A / 10:07:31 / 0000518 s
1.70 A / 10:07:33 / 0000520 s
1.98 A / 10:07:35 / 0000522 s
1.85 A / 10:07:37 / 0000524 s
1.85 A / 10:07:39 / 0000526 s
1.85 A / 10:07:41 / 0000528 s
1.85 A / 10:07:43 / 0000530 s
1.85 A / 10:07:45 / 0000532 s
1.73 A / 10:07:47 / 0000534 s
1.73 A / 10:07:49 / 0000536 s
1.73 A / 10:07:51 / 0000538 s
1.73 A / 10:07:53 / 0000540 s
1.73 A / 10:07:55 / 0000542 s
1.63 A / 10:07:57 / 0000544 s
1.63 A / 10:07:59 / 0000546 s
1.63 A / 10:08:01 / 0000548 s
1.73 A / 10:08:03 / 0000550 s
1.73 A / 10:08:05 / 0000552 s
1.60 A / 10:08:07 / 0000554 s
1.60 A / 10:08:09 / 0000556 s
1.60 A / 10:08:11 / 0000558 s
1.73 A / 10:08:13 / 0000560 s
1.63 A / 10:08:15 / 0000562 s
1.63 A / 10:08:17 / 0000564 s
1.63 A / 10:08:19 / 0000566 s
1.63 A / 10:08:21 / 0000568 s
1.78 A / 10:08:23 / 0000570 s
1.63 A / 10:08:25 / 0000572 s
1.63 A / 10:08:27 / 0000574 s
1.63 A / 10:08:29 / 0000576 s
1.63 A / 10:08:31 / 0000578 s
1.63 A / 10:08:33 / 0000580 s
1.63 A / 10:08:35 / 0000582 s
1.63 A / 10:08:37 / 0000584 s
1.63 A / 10:08:39 / 0000586 s
1.93 A / 10:08:41 / 0000588 s
1.93 A / 10:08:43 / 0000590 s
1.78 A / 10:08:45 / 0000592 s
1.65 A / 10:08:47 / 0000594 s
1.65 A / 10:08:49 / 0000596 s
1.65 A / 10:08:51 / 0000598 s
1.65 A / 10:08:53 / 0000600 s
1.65 A / 10:08:55 / 0000602 s
1.65 A / 10:08:57 / 0000604 s
1.55 A / 10:08:59 / 0000606 s
1.55 A / 10:09:01 / 0000608 s
1.55 A / 10:09:03 / 0000610 s
1.68 A / 10:09:05 / 0000612 s
1.53 A / 10:09:07 / 0000614 s
1.63 A / 10:09:09 / 0000616 s
1.63 A / 10:09:11 / 0000618 s
1.63 A / 10:09:13 / 0000620 s
1.63 A / 10:09:15 / 0000622 s
1.63 A / 10:09:17 / 0000624 s
1.63 A / 10:09:19 / 0000626 s
1.83 A / 10:09:21 / 0000628 s
1.68 A / 10:09:23 / 0000630 s
1.68 A / 10:09:25 / 0000632 s
1.58 A / 10:09:27 / 0000634 s
1.70 A / 10:09:29 / 0000636 s
1.70 A / 10:09:31 / 0000638 s
1.70 A / 10:09:33 / 0000640 s
1.70 A / 10:09:35 / 0000642 s
1.60 A / 10:09:37 / 0000644 s
1.50 A / 10:09:39 / 0000646 s
1.60 A / 10:09:41 / 0000648 s
1.60 A / 10:09:43 / 0000650 s
1.70 A / 10:09:45 / 0000652 s
1.70 A / 10:09:47 / 0000654 s
1.80 A / 10:09:49 / 0000656 s
1.58 A / 10:09:51 / 0000658 s
1.70 A / 10:09:54 / 0000660 s
1.70 A / 10:09:56 / 0000662 s
1.70 A / 10:09:58 / 0000664 s
1.70 A / 10:10:00 / 0000666 s
1.70 A / 10:10:02 / 0000668 s
1.55 A / 10:10:04 / 0000670 s
1.55 A / 10:10:06 / 0000672 s
1.55 A / 10:10:08 / 0000674 s
1.65 A / 10:10:10 / 0000676 s
1.65 A / 10:10:12 / 0000678 s
1.65 A / 10:10:14 / 0000680 s
1.65 A / 10:10:16 / 0000682 s
1.65 A / 10:10:18 / 0000684 s
1.53 A / 10:10:20 / 0000686 s
1.53 A / 10:10:22 / 0000688 s
1.53 A / 10:10:24 / 0000690 s
1.53 A / 10:10:26 / 0000692 s
1.65 A / 10:10:28 / 0000694 s
1.55 A / 10:10:30 / 0000696 s
1.55 A / 10:10:32 / 0000698 s
1.43 A / 10:10:34 / 0000700 s
1.60 A / 10:10:36 / 0000702 s
1.48 A / 10:10:38 / 0000704 s
1.48 A / 10:10:40 / 0000706 s
1.48 A / 10:10:42 / 0000708 s
1.38 A / 10:10:44 / 0000710 s
1.38 A / 10:10:46 / 0000712 s
1.38 A / 10:10:48 / 0000714 s
1.50 A / 10:10:50 / 0000716 s
1.38 A / 10:10:52 / 0000718 s
1.50 A / 10:10:54 / 0000720 s
1.38 A / 10:10:56 / 0000722 s
1.38 A / 10:10:58 / 0000724 s
1.38 A / 10:11:00 / 0000726 s
1.38 A / 10:11:02 / 0000728 s
1.38 A / 10:11:04 / 0000730 s
1.28 A / 10:11:06 / 0000732 s
1.28 A / 10:11:08 / 0000734 s
1.28 A / 10:11:10 / 0000736 s
1.63 A / 10:11:12 / 0000738 s
1.63 A / 10:11:14 / 0000740 s
1.53 A / 10:11:16 / 0000742 s
1.40 A / 10:11:18 / 0000744 s
1.40 A / 10:11:20 / 0000746 s
1.40 A / 10:11:22 / 0000748 s
1.68 A / 10:11:24 / 0000750 s
1.55 A / 10:11:26 / 0000752 s
1.55 A / 10:11:28 / 0000754 s
1.38 A / 10:11:30 / 0000756 s
1.55 A / 10:11:32 / 0000758 s
1.45 A / 10:11:34 / 0000760 s
1.60 A / 10:11:36 / 0000762 s
1.40 A / 10:11:38 / 0000764 s
1.50 A / 10:11:40 / 0000766 s
1.50 A / 10:11:42 / 0000768 s
1.50 A / 10:11:44 / 0000770 s
1.50 A / 10:11:46 / 0000772 s
1.50 A / 10:11:48 / 0000774 s
1.50 A / 10:11:50 / 0000776 s
1.50 A / 10:11:52 / 0000778 s
1.50 A / 10:11:54 / 0000780 s
1.40 A / 10:11:56 / 0000782 s
1.40 A / 10:11:58 / 0000784 s
1.40 A / 10:12:00 / 0000786 s
1.40 A / 10:12:02 / 0000788 s
1.50 A / 10:12:04 / 0000790 s
1.50 A / 10:12:06 / 0000792 s
1.50 A / 10:12:08 / 0000794 s
1.40 A / 10:12:10 / 0000796 s
1.40 A / 10:12:12 / 0000798 s
1.40 A / 10:12:14 / 0000800 s
1.40 A / 10:12:16 / 0000802 s
1.40 A / 10:12:18 / 0000804 s
1.40 A / 10:12:20 / 0000806 s
1.40 A / 10:12:22 / 0000808 s
1.40 A / 10:12:24 / 0000810 s
1.50 A / 10:12:26 / 0000812 s
1.50 A / 10:12:28 / 0000814 s
1.50 A / 10:12:30 / 0000816 s
1.50 A / 10:12:32 / 0000818 s
1.50 A / 10:12:34 / 0000820 s
1.50 A / 10:12:36 / 0000822 s
1.50 A / 10:12:38 / 0000824 s
1.50 A / 10:12:40 / 0000826 s
1.50 A / 10:12:42 / 0000828 s
1.50 A / 10:12:44 / 0000830 s
1.50 A / 10:12:46 / 0000832 s
1.50 A / 10:12:48 / 0000834 s
1.50 A / 10:12:50 / 0000836 s
1.50 A / 10:12:52 / 0000838 s
1.38 A / 10:12:54 / 0000840 s
1.25 A / 10:12:56 / 0000842 s
1.25 A / 10:12:58 / 0000844 s
1.43 A / 10:13:00 / 0000846 s
1.43 A / 10:13:02 / 0000848 s
1.43 A / 10:13:04 / 0000850 s
1.43 A / 10:13:06 / 0000852 s
1.23 A / 10:13:08 / 0000854 s
1.35 A / 10:13:10 / 0000856 s
1.35 A / 10:13:12 / 0000858 s
1.48 A / 10:13:14 / 0000860 s
1.48 A / 10:13:16 / 0000862 s
1.48 A / 10:13:18 / 0000864 s
1.28 A / 10:13:20 / 0000866 s
1.38 A / 10:13:22 / 0000868 s
1.18 A / 10:13:24 / 0000870 s
1.18 A / 10:13:26 / 0000872 s
1.28 A / 10:13:28 / 0000874 s
1.28 A / 10:13:30 / 0000876 s
1.28 A / 10:13:32 / 0000878 s
1.13 A / 10:13:34 / 0000880 s
1.13 A / 10:13:36 / 0000882 s
1.13 A / 10:13:38 / 0000884 s
1.38 A / 10:13:40 / 0000886 s
1.38 A / 10:13:42 / 0000888 s
1.25 A / 10:13:44 / 0000890 s
1.25 A / 10:13:46 / 0000892 s
1.25 A / 10:13:48 / 0000894 s
1.40 A / 10:13:50 / 0000896 s
1.40 A / 10:13:52 / 0000898 s
1.40 A / 10:13:54 / 0000900 s
1.40 A / 10:13:56 / 0000902 s
1.23 A / 10:13:58 / 0000904 s
1.23 A / 10:14:00 / 0000906 s
1.38 A / 10:14:02 / 0000908 s
1.38 A / 10:14:04 / 0000910 s
1.38 A / 10:14:06 / 0000912 s
1.38 A / 10:14:08 / 0000914 s
1.38 A / 10:14:10 / 0000916 s
1.38 A / 10:14:12 / 0000918 s
1.25 A / 10:14:14 / 0000920 s
1.25 A / 10:14:16 / 0000922 s
1.40 A / 10:14:18 / 0000924 s
1.40 A / 10:14:20 / 0000926 s
1.40 A / 10:14:22 / 0000928 s
1.28 A / 10:14:24 / 0000930 s
1.28 A / 10:14:26 / 0000932 s
1.28 A / 10:14:28 / 0000934 s
1.38 A / 10:14:30 / 0000936 s
1.38 A / 10:14:32 / 0000938 s
1.23 A / 10:14:34 / 0000940 s
1.23 A / 10:14:36 / 0000942 s
1.33 A / 10:14:38 / 0000944 s
1.33 A / 10:14:40 / 0000946 s
1.20 A / 10:14:42 / 0000948 s
1.20 A / 10:14:44 / 0000950 s
1.20 A / 10:14:47 / 0000952 s
1.20 A / 10:14:49 / 0000954 s
1.30 A / 10:14:51 / 0000956 s
1.45 A / 10:14:53 / 0000958 s
1.30 A / 10:14:55 / 0000960 s
1.43 A / 10:14:57 / 0000962 s
1.20 A / 10:14:59 / 0000964 s
1.20 A / 10:15:01 / 0000966 s
